"","1_67","2_67","3_67","4_67","5_67","6_67"
"198",0,NA,0,NA,NA,NA
"199",0,NA,0,NA,NA,NA
"200",0,NA,0,NA,NA,NA
"201",0,NA,0,NA,NA,NA
"202",0,NA,0,NA,NA,NA
"203",0,NA,0,NA,NA,NA
"204",0,NA,0,NA,NA,NA
"205",0,NA,0,NA,NA,NA
"206",0,NA,0,NA,NA,NA
"207",0,NA,0,NA,NA,NA
"208",0,NA,0,NA,NA,NA
"209",0,NA,0,NA,NA,NA
"210",0,NA,0,NA,NA,NA
"211",0,NA,0,NA,NA,NA
"212",0,NA,0,NA,NA,NA
"213",0,NA,0,NA,NA,NA
"214",0,NA,0,NA,NA,NA
"215",0,NA,0,NA,NA,NA
"216",0,NA,0,NA,NA,NA
"217",0,NA,0,NA,NA,NA
"218",0,NA,0,NA,NA,NA
"219",0,NA,0,NA,NA,NA
"220",0,NA,0,NA,NA,NA
"221",0,NA,0,NA,NA,NA
"222",0,NA,0,NA,NA,NA
"223",0,NA,NA,NA,NA,NA
"224",0,NA,NA,NA,NA,NA
"225",0,NA,NA,NA,NA,NA
"226",0,NA,NA,NA,NA,NA
"227",0,NA,NA,NA,NA,NA
"228",0,NA,NA,NA,NA,NA
